family,method,model,n_runs,source_train,target_train,weight_compute,alignment_train,TOTAL
Parameter-Based,Thresholded Label-Aware FT (tsbw),Transformer,9,0.0,5.8586246977777385,0.0003371665556085889,0.0,5.858961864333348
Parameter-Based,Joint-Training,RNN,9,0.0,2.9786416297777376,0.0,0.0,2.9786416297777376
Parameter-Based,Joint-Training,LSTM,9,0.0,3.4974962476666303,0.0,0.0,3.4974962476666303
Parameter-Based,Joint-Training,Transformer,9,0.0,5.822970624222257,0.0,0.0,5.822970624222257
Parameter-Based,Thresholded Label-Aware FT (tsw),RNN,9,0.0,2.8069434066666066,0.000338827333356,0.0,2.8072822339999624
Parameter-Based,Thresholded Label-Aware FT (tsw),LSTM,9,0.0,3.2423918817777726,0.0003313563334409,0.0,3.2427232381112137
Parameter-Based,Thresholded Label-Aware FT (tsw),Transformer,9,0.0,5.1361315784445445,0.00035060088890124445,0.0,5.136482179333446
Parameter-Based,LinInt (alpha=0.00),RNN,9,1.5305799413333463,0.8340397163333869,0.0,0.0,2.3646196576667333
Parameter-Based,LinInt (alpha=0.00),LSTM,9,1.8013450291111641,1.000119305999912,0.0,0.0,2.801464335111076
Parameter-Based,LinInt (alpha=0.00),Transformer,9,2.9248249792222953,1.6302418365556453,0.0,0.0,4.55506681577794
Parameter-Based,LinInt (alpha=0.25),RNN,9,1.5305799413333463,0.8340397163333869,0.0,0.0,2.3646196576667333
Parameter-Based,LinInt (alpha=0.25),LSTM,9,1.8013450291111641,1.000119305999912,0.0,0.0,2.801464335111076
Parameter-Based,LinInt (alpha=0.25),Transformer,9,2.9248249792222953,1.6302418365556453,0.0,0.0,4.55506681577794
Parameter-Based,LinInt (alpha=0.50),RNN,9,1.5305799413333463,0.8340397163333869,0.0,0.0,2.3646196576667333
Parameter-Based,LinInt (alpha=0.50),LSTM,9,1.8013450291111641,1.000119305999912,0.0,0.0,2.801464335111076
